""id,"data_ymd","ano","mes","area","epoca","recuperacao","ndvi","Frequencia"
"1",2000-05-11,2000,5,"prada","seco","degradado",0.216964178746855,0.772549019607843
"2",2000-05-11,2000,5,"prada","seco","degradado",0.201219512195122,1
"3",2000-05-11,2000,5,"prada","seco","degradado",0.273100761466265,0.745098039215686
"4",2000-05-11,2000,5,"prada","seco","degradado",0.326406865004787,1
"5",2000-05-11,2000,5,"prada","seco","degradado",0.31651040395943,1
"6",2000-05-11,2000,5,"prada","seco","degradado",0.351403017682802,1
"7",2000-05-11,2000,5,"prada","seco","degradado",0.26227691366989,1
"8",2000-05-11,2000,5,"prada","seco","degradado",0.343951817720049,1
"9",2000-05-11,2000,5,"prada","seco","degradado",0.284622461255396,0.941176470588235
"10",2000-05-11,2000,5,"prada","seco","degradado",0.337796670208998,1
"11",2000-05-11,2000,5,"prada","seco","degradado",0.26020677684703,1
"12",2000-05-11,2000,5,"prada","seco","degradado",0.333475951082112,1
"13",2000-05-11,2000,5,"prada","seco","degradado",0.310421206816477,1
"14",2000-05-11,2000,5,"prada","seco","degradado",0.334896909020898,1
"15",2000-05-11,2000,5,"prada","seco","degradado",0.359584653765761,1
"16",2000-05-11,2000,5,"prada","seco","degradado",0.301035632789187,0.996078431372549
"17",2000-05-11,2000,5,"prada","seco","degradado",0.287487684729064,1
"18",2000-05-11,2000,5,"prada","seco","degradado",0.296395759717314,0.984313725490196
"19",2000-05-11,2000,5,"prada","seco","degradado",0.384746281863663,1
"20",2000-05-11,2000,5,"prada","seco","degradado",0.296552729392901,0.827450980392157
"21",2000-05-11,2000,5,"prada","seco","degradado",0.392683085320684,1
"22",2000-05-11,2000,5,"prada","seco","degradado",0.312144811618607,1
"23",2000-05-11,2000,5,"prada","seco","degradado",0.303946355941519,1
"24",2000-05-11,2000,5,"prada","seco","degradado",0.193241167434716,1
"25",2000-05-11,2000,5,"prada","seco","degradado",0.30268081002893,1
"26",2000-05-11,2000,5,"prada","seco","degradado",0.323372465314835,1
"27",2000-05-11,2000,5,"prada","seco","degradado",0.370452708164915,0.988235294117647
"28",2000-05-11,2000,5,"prada","seco","degradado",0.30784708249497,1
"29",2000-05-11,2000,5,"prada","seco","degradado",0.380975208875497,1
"30",2000-05-11,2000,5,"prada","seco","degradado",0.367197388581707,1
"31",2000-05-11,2000,5,"prada","seco","degradado",0.355720633628439,1
"32",2000-05-11,2000,5,"prada","seco","degradado",0.2372634643377,0.976470588235294
"33",2000-05-11,2000,5,"prada","seco","degradado",0.130163236337828,1
"34",2000-05-11,2000,5,"prada","seco","degradado",0.268358762298588,0.843137254901961
"35",2000-05-11,2000,5,"prada","seco","degradado",0.177443804409026,0.913725490196078
"36",2000-05-11,2000,5,"prada","seco","degradado",0.307822648969218,1
"37",2000-05-11,2000,5,"prada","seco","degradado",0.26863863150392,0.984313725490196
"38",2000-05-11,2000,5,"prada","seco","degradado",0.329578071182549,1
